bin,position,mean,sem,genotype,region,group,n_regions
2,-1949.367088607595,2.573484098340278,0.052097396630232926,FANCJKO,5UTR,none,16000
3,-1898.73417721519,2.568646737460206,0.051405919747192115,FANCJKO,5UTR,none,16000
4,-1848.1012658227849,2.559629267051216,0.050861285075073086,FANCJKO,5UTR,none,16000
5,-1797.4683544303798,2.5351003050616256,0.05000734211778001,FANCJKO,5UTR,none,16000
6,-1746.8354430379748,2.539593120931642,0.049782672984770245,FANCJKO,5UTR,none,16000
7,-1696.2025316455697,2.541830866388068,0.04965706963369646,FANCJKO,5UTR,none,16000
8,-1645.5696202531644,2.5314362685223655,0.04944821594629788,FANCJKO,5UTR,none,16000
9,-1594.9367088607596,2.5268271813478727,0.048951187069899545,FANCJKO,5UTR,none,16000
10,-1544.3037974683543,2.5181787411808276,0.04798241136947494,FANCJKO,5UTR,none,16000
11,-1493.6708860759495,2.497448485087038,0.04732954340005348,FANCJKO,5UTR,none,16000
12,-1443.0379746835442,2.4964126294399365,0.047595270489333805,FANCJKO,5UTR,none,16000
13,-1392.4050632911392,2.494609945677462,0.04854385707502211,FANCJKO,5UTR,none,16000
14,-1341.7721518987341,2.4857934684947467,0.048668614894983794,FANCJKO,5UTR,none,16000
15,-1291.139240506329,2.465902752402198,0.04849387415211763,FANCJKO,5UTR,none,16000
16,-1240.506329113924,2.450327011661473,0.047450755743595474,FANCJKO,5UTR,none,16000
17,-1189.873417721519,2.4396403436090455,0.046599194295891586,FANCJKO,5UTR,none,16000
18,-1139.240506329114,2.4035929912443414,0.04442190127131449,FANCJKO,5UTR,none,16000
19,-1088.607594936709,2.3635452469047804,0.04169843534302102,FANCJKO,5UTR,none,16000
20,-1037.9746835443038,2.333830806592925,0.040148221475667746,FANCJKO,5UTR,none,16000
21,-987.3417721518988,2.287984163007168,0.03853058413799812,FANCJKO,5UTR,none,16000
22,-936.7088607594937,2.243537948679655,0.03697915968245726,FANCJKO,5UTR,none,16000
23,-886.0759493670887,2.207567638930141,0.03559414534546157,FANCJKO,5UTR,none,16000
24,-835.4430379746836,2.161784520677194,0.034359698082246766,FANCJKO,5UTR,none,16000
25,-784.8101265822784,2.1265710267240365,0.032776254830048146,FANCJKO,5UTR,none,16000
26,-734.1772151898733,2.0706196625427986,0.03093754671314698,FANCJKO,5UTR,none,16000
27,-683.5443037974683,2.025166276040796,0.02958401373595098,FANCJKO,5UTR,none,16000
28,-632.9113924050632,1.9769390644561329,0.02780494385386483,FANCJKO,5UTR,none,16000
29,-582.2784810126582,1.9243056563309922,0.02525433086354349,FANCJKO,5UTR,none,16000
30,-531.6455696202531,1.8647784021451106,0.022635188985683362,FANCJKO,5UTR,none,16000
31,-481.0126582278481,1.8003235461375533,0.020175688926251413,FANCJKO,5UTR,none,16000
32,-430.37974683544303,1.748314432053941,0.018340302781531738,FANCJKO,5UTR,none,16000
33,-379.746835443038,1.7089668450803965,0.016979884424019178,FANCJKO,5UTR,none,16000
34,-329.11392405063293,1.6762995770874392,0.015934457247972465,FANCJKO,5UTR,none,16000
35,-278.4810126582279,1.6572749328283243,0.015101376946692014,FANCJKO,5UTR,none,16000
36,-227.84810126582283,1.6477319432768736,0.01440246036673072,FANCJKO,5UTR,none,16000
37,-177.21518987341778,1.6275472811598153,0.013751010155607427,FANCJKO,5UTR,none,16000
38,-126.58227848101274,1.6043829097295887,0.013271118216294595,FANCJKO,5UTR,none,16000
39,-75.94936708860769,1.5848438736276407,0.012982947241070278,FANCJKO,5UTR,none,16000
40,-25.316455696202638,1.5787862631645218,0.01274726501222295,FANCJKO,5UTR,none,16000
41,25.31645569620241,1.5732041388132372,0.01264679448415588,FANCJKO,5UTR,none,16000
42,75.94936708860769,1.581221107000715,0.012792272716746956,FANCJKO,5UTR,none,16000
43,126.58227848101251,1.5919622696274343,0.01308268902873989,FANCJKO,5UTR,none,16000
44,177.21518987341778,1.6001541065377942,0.013494415561329453,FANCJKO,5UTR,none,16000
45,227.8481012658226,1.618599731661349,0.014072964281336513,FANCJKO,5UTR,none,16000
46,278.4810126582279,1.636735493204847,0.014925564517565637,FANCJKO,5UTR,none,16000
